Unnamed: 0,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,car_age_bins,age_oldest_bins,age_youngest_bins,duration_previous_bins
18,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,2,3,0,2,3,578,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
19,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,2,3,0,2,2,547,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
20,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,0,3,561,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
21,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,0,3,561,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
22,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,1,3,0,2,3,579,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
23,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,2,3,567,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
24,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627,"(5, 10]","(15, 25]","(15, 25]","(0, 3]"
25,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627,"(5, 10]","(15, 25]","(15, 25]","(0, 3]"
26,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627,"(5, 10]","(15, 25]","(15, 25]","(0, 3]"
27,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627,"(5, 10]","(15, 25]","(15, 25]","(0, 3]"
28,PA,2,1,12,d,0.0,75,75,1,1.0,10.0,1,1,3,3,1,1,1,670,"(10, 15]","(65, 75]","(65, 75]","(9, 12]"
29,PA,2,1,12,d,0.0,75,75,1,1.0,10.0,1,0,1,2,0,1,2,644,"(10, 15]","(65, 75]","(65, 75]","(9, 12]"
30,MO,1,1,11,h,3.0,56,56,0,3.0,2.0,1,0,3,3,0,2,1,580,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
31,MO,1,1,11,h,3.0,56,56,0,3.0,2.0,1,0,3,3,0,2,2,581,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
32,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,2,0,1,1,0,3,3,713,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
33,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,1,0,3,3,1,2,3,738,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
34,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,1,0,3,3,1,2,3,746,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
35,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,2,0,2,3,0,3,3,730,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
36,NY,2,0,1,f,2.0,32,30,0,3.0,2.0,1,1,3,3,1,0,3,735,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
37,NY,2,0,1,f,2.0,32,30,0,3.0,2.0,1,1,3,3,1,0,2,733,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
38,WA,1,1,8,h,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,668,"(5, 10]","(45, 55]","(45, 55]","(0, 3]"
39,WA,1,1,8,g,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,667,"(5, 10]","(45, 55]","(45, 55]","(0, 3]"
40,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,1,1,0,2,2,575,"(0, 5]","(55, 65]","(55, 65]","(9, 12]"
41,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,3,3,1,1,1,600,"(0, 5]","(55, 65]","(55, 65]","(9, 12]"
42,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,1,3,3,1,1,1,605,"(0, 5]","(55, 65]","(55, 65]","(9, 12]"
43,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,3,3,0,0,2,564,"(10, 15]","(45, 55]","(45, 55]","(3, 6]"
44,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585,"(10, 15]","(45, 55]","(45, 55]","(3, 6]"
45,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,590,"(10, 15]","(45, 55]","(45, 55]","(3, 6]"
46,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585,"(10, 15]","(45, 55]","(45, 55]","(3, 6]"
47,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570,"(5, 10]","(45, 55]","(45, 55]","(0, 3]"
48,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570,"(5, 10]","(45, 55]","(45, 55]","(0, 3]"
49,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570,"(5, 10]","(45, 55]","(45, 55]","(0, 3]"
50,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,3,3,1,2,3,622,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
51,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,2,3,629,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
52,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,630,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
53,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,624,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
54,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,617,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
55,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,551,"(25, 30]","(65, 75]","(65, 75]","(0, 3]"
56,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,555,"(25, 30]","(65, 75]","(65, 75]","(0, 3]"
57,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,1,1,3,3,0,1,2,616,"(10, 15]","(65, 75]","(65, 75]","(3, 6]"
58,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,605,"(10, 15]","(65, 75]","(65, 75]","(3, 6]"
59,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,597,"(10, 15]","(65, 75]","(65, 75]","(3, 6]"
60,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,631,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
61,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
62,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
63,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
64,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
65,FL,1,0,7,g,2.0,24,24,0,2.0,3.0,1,1,1,3,1,2,3,691,"(5, 10]","(15, 25]","(15, 25]","(0, 3]"
66,FL,1,0,7,g,2.0,24,24,0,2.0,9.0,1,1,1,3,1,2,3,670,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
67,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,591,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
68,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,603,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
69,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,0,3,3,0,2,2,560,"(15, 20]","(35, 45]","(35, 45]","(3, 6]"
70,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,571,"(15, 20]","(35, 45]","(35, 45]","(3, 6]"
71,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,583,"(15, 20]","(35, 45]","(35, 45]","(3, 6]"
72,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,1,3,3,1,2,2,597,"(5, 10]","(25, 35]","(25, 35]","(3, 6]"
73,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,0,3,3,0,2,1,581,"(5, 10]","(25, 35]","(25, 35]","(3, 6]"
74,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644,"(0, 5]","(25, 35]","(25, 35]","(3, 6]"
75,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644,"(0, 5]","(25, 35]","(25, 35]","(3, 6]"
76,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517,"(10, 15]","(35, 45]","(35, 45]","(6, 9]"
77,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517,"(10, 15]","(35, 45]","(35, 45]","(6, 9]"
78,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,613,"(10, 15]","(35, 45]","(35, 45]","(6, 9]"
79,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,616,"(10, 15]","(35, 45]","(35, 45]","(6, 9]"
80,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
81,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
82,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,1,4,3,0,2,2,615,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
83,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,3,616,"(5, 10]","(45, 55]","(45, 55]","(12, 15]"
84,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,1,598,"(5, 10]","(45, 55]","(45, 55]","(12, 15]"
85,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,2,639,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
86,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
87,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
88,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642,"(10, 15]","(55, 65]","(55, 65]","(0, 3]"
89,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,4,693,,"(55, 65]","(25, 35]","(3, 6]"
90,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,3,675,,"(55, 65]","(25, 35]","(3, 6]"
91,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,670,,"(55, 65]","(25, 35]","(3, 6]"
92,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,675,,"(55, 65]","(25, 35]","(3, 6]"
93,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,0,0,1,1,0,0,2,647,"(10, 15]","(15, 25]","(15, 25]",
94,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,1,0,1,2,0,2,2,751,"(10, 15]","(15, 25]","(15, 25]",
95,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
96,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,690,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
97,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
98,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
99,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677,"(10, 15]","(15, 25]","(15, 25]","(3, 6]"
100,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
101,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
102,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,1,630,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
103,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,0,2,3,0,1,1,622,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
104,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,3,3,0,2,1,665,"(5, 10]","(25, 35]","(15, 25]","(0, 3]"
105,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,1,3,0,2,1,645,"(5, 10]","(25, 35]","(15, 25]","(0, 3]"
106,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693,,"(25, 35]","(15, 25]","(0, 3]"
107,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693,,"(25, 35]","(15, 25]","(0, 3]"
108,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714,,"(25, 35]","(15, 25]","(0, 3]"
109,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714,,"(25, 35]","(15, 25]","(0, 3]"
110,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714,,"(25, 35]","(15, 25]","(0, 3]"
111,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729,,"(25, 35]","(15, 25]","(0, 3]"
112,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729,,"(25, 35]","(15, 25]","(0, 3]"
113,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574,"(0, 5]","(35, 45]","(35, 45]","(3, 6]"
114,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574,"(0, 5]","(35, 45]","(35, 45]","(3, 6]"
115,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,2,0,3,3,0,3,3,584,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
116,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
117,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
118,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
119,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
120,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599,"(10, 15]","(55, 65]","(55, 65]","(3, 6]"
121,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,1,619,"(5, 10]","(55, 65]","(55, 65]","(0, 3]"
122,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,2,638,"(5, 10]","(55, 65]","(55, 65]","(0, 3]"
123,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,0,0,3,3,0,0,2,591,"(5, 10]","(55, 65]","(55, 65]","(0, 3]"
124,UT,2,1,3,d,0.0,50,19,0,0.0,0.0,1,0,2,2,0,2,2,749,"(0, 5]","(45, 55]","(15, 25]",
125,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,0,2,1,657,"(0, 5]","(45, 55]","(15, 25]","(0, 3]"
126,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,1,1,1,660,"(0, 5]","(45, 55]","(15, 25]","(0, 3]"
127,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,1,2,1,1,1,656,"(0, 5]","(45, 55]","(15, 25]","(0, 3]"
128,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
129,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
130,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,625,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
131,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,629,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
132,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,2,2,1,2,3,629,"(10, 15]","(65, 75]","(65, 75]","(6, 9]"
133,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,1,3,3,1,1,2,669,"(5, 10]","(35, 45]","(35, 45]","(3, 6]"
134,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,2,652,"(5, 10]","(35, 45]","(35, 45]","(3, 6]"
135,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,3,668,"(5, 10]","(35, 45]","(35, 45]","(3, 6]"
136,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
137,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
138,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,640,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
139,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,641,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
140,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,635,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
141,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,628,"(0, 5]","(25, 35]","(25, 35]","(6, 9]"
142,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,685,"(5, 10]","(35, 45]","(35, 45]","(0, 3]"
143,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,676,"(5, 10]","(35, 45]","(35, 45]","(0, 3]"
144,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,664,"(15, 20]","(45, 55]","(45, 55]","(0, 3]"
145,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,673,"(15, 20]","(45, 55]","(45, 55]","(0, 3]"
146,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,0,0,2,3,0,2,1,659,"(15, 20]","(45, 55]","(45, 55]","(0, 3]"
147,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,4,676,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
148,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
149,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
150,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670,"(0, 5]","(45, 55]","(45, 55]","(12, 15]"
151,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,597,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
152,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,599,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
153,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
154,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
155,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
156,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,1,661,"(0, 5]","(15, 25]","(15, 25]","(3, 6]"
157,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674,"(0, 5]","(15, 25]","(15, 25]","(3, 6]"
158,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674,"(0, 5]","(15, 25]","(15, 25]","(3, 6]"
159,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,0,0,1,1,0,0,4,574,"(10, 15]","(35, 45]","(35, 45]","(0, 3]"
160,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621,"(10, 15]","(35, 45]","(35, 45]","(0, 3]"
161,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621,"(10, 15]","(35, 45]","(35, 45]","(0, 3]"
162,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,4,624,"(5, 10]","(25, 35]","(25, 35]","(6, 9]"
163,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,2,627,"(5, 10]","(25, 35]","(25, 35]","(6, 9]"
164,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,0,1,1,0,2,3,644,"(5, 10]","(25, 35]","(25, 35]","(12, 15]"
165,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,636,"(5, 10]","(25, 35]","(25, 35]","(12, 15]"
166,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,642,"(5, 10]","(25, 35]","(25, 35]","(12, 15]"
167,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588,"(15, 20]","(25, 35]","(25, 35]",
168,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588,"(15, 20]","(25, 35]","(25, 35]",
169,OK,1,1,17,f,0.0,33,33,0,1.0,1.0,0,0,1,1,0,0,4,583,"(15, 20]","(25, 35]","(25, 35]","(0, 3]"
170,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,0,0,1,2,0,0,2,552,"(0, 5]","(55, 65]","(55, 65]","(6, 9]"
171,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,2,617,"(0, 5]","(55, 65]","(55, 65]","(6, 9]"
172,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,621,"(0, 5]","(55, 65]","(55, 65]","(6, 9]"
173,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,625,"(0, 5]","(55, 65]","(55, 65]","(6, 9]"
174,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,689,"(10, 15]","(35, 45]","(35, 45]","(0, 3]"
175,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,683,"(10, 15]","(35, 45]","(35, 45]","(0, 3]"
176,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,1,1,3,3,0,2,3,563,"(20, 25]","(55, 65]","(55, 65]","(12, 15]"
177,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,0,1,2,3,0,0,2,513,"(20, 25]","(55, 65]","(55, 65]","(12, 15]"
178,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,630,"(10, 15]","(15, 25]","(15, 25]","(6, 9]"
179,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,621,"(10, 15]","(15, 25]","(15, 25]","(6, 9]"
